season,place,team,points,played,won,draw,loss,goals,goals_taken,goals_diff,aproveitamento,media_gols_marcados,media_gols_sofridos
2013,6,Goiás,59,38,16,11,11,48,44,4,155.26315789473685,1.1578947368421053,0.10526315789473684
2013,7,Santos,57,38,15,12,11,51,38,13,150.0,1.0,0.34210526315789475
2013,8,Atlético Mineiro,57,38,15,12,11,49,38,11,150.0,1.0,0.2894736842105263
2013,9,São Paulo,50,38,14,8,16,39,40,-1,131.57894736842107,1.0526315789473684,-0.02631578947368421
2013,10,Corinthians,50,38,11,17,10,27,22,5,131.57894736842107,0.5789473684210527,0.13157894736842105
2013,11,Coritiba,48,38,12,12,14,42,45,-3,126.3157894736842,1.1842105263157894,-0.07894736842105263
2013,12,Bahia,48,38,12,12,14,37,45,-8,126.3157894736842,1.1842105263157894,-0.21052631578947367
2013,13,Internacional,48,38,11,15,12,51,52,-1,126.3157894736842,1.368421052631579,-0.02631578947368421
2013,14,Criciúma,46,38,13,7,18,49,63,-14,121.05263157894737,1.6578947368421053,-0.3684210526315789
2013,15,Fluminense,46,38,12,10,16,43,47,-4,121.05263157894737,1.236842105263158,-0.10526315789473684
2013,16,Flamengo,45,38,12,13,13,43,46,-3,118.42105263157893,1.2105263157894737,-0.07894736842105263
2013,17,Portuguesa,44,38,12,12,14,50,46,4,115.78947368421053,1.2105263157894737,0.10526315789473684
2013,18,Vasco,44,38,11,11,16,50,61,-11,115.78947368421053,1.605263157894737,-0.2894736842105263
2013,19,Ponte Preta,37,38,9,10,19,37,55,-18,97.36842105263158,1.4473684210526316,-0.47368421052631576
2013,20,Náutico,20,38,5,5,28,22,79,-57,52.63157894736842,2.0789473684210527,-1.5
2014,1,Cruzeiro,80,38,24,8,6,67,38,29,210.52631578947367,1.0,0.7631578947368421
2014,2,São Paulo,70,38,20,10,8,59,40,19,184.21052631578948,1.0526315789473684,0.5
2014,3,Internacional,69,38,21,6,11,53,41,12,181.57894736842107,1.0789473684210527,0.3157894736842105
2014,4,Corinthians,69,38,19,12,7,49,31,18,181.57894736842107,0.8157894736842105,0.47368421052631576
2014,5,Atlético Mineiro,62,38,17,11,10,51,38,13,163.1578947368421,1.0,0.34210526315789475
2014,6,Fluminense,61,38,17,10,11,61,42,19,160.5263157894737,1.105263157894737,0.5
2014,7,Grêmio,61,38,17,10,11,36,24,12,160.5263157894737,0.631578947368421,0.3157894736842105
2014,8,Athletico Paranaense,54,38,15,9,14,43,42,1,142.10526315789474,1.105263157894737,0.02631578947368421
2014,9,Santos,53,38,15,8,15,42,35,7,139.4736842105263,0.9210526315789473,0.18421052631578946
2014,10,Flamengo,52,38,14,10,14,46,47,-1,136.8421052631579,1.236842105263158,-0.02631578947368421
2014,11,Sport,52,38,14,10,14,36,46,-10,136.8421052631579,1.2105263157894737,-0.2631578947368421
2014,12,Goiás,47,38,13,8,17,38,40,-2,123.6842105263158,1.0526315789473684,-0.05263157894736842
2014,13,Figueirense,47,38,13,8,17,37,47,-10,123.6842105263158,1.236842105263158,-0.2631578947368421
2014,14,Coritiba,47,38,12,11,15,42,45,-3,123.6842105263158,1.1842105263157894,-0.07894736842105263
2014,15,Chapecoense,43,38,11,10,17,39,44,-5,113.1578947368421,1.1578947368421053,-0.13157894736842105
2014,16,Palmeiras,40,38,11,7,20,34,59,-25,105.26315789473684,1.5526315789473684,-0.6578947368421053
2014,17,Vitória,38,38,10,8,20,37,54,-17,100.0,1.4210526315789473,-0.4473684210526316
2014,18,Bahia,37,38,9,10,19,31,43,-12,97.36842105263158,1.131578947368421,-0.3157894736842105
2014,19,Botafogo,34,38,9,7,22,31,48,-17,89.47368421052632,1.263157894736842,-0.4473684210526316
2014,20,Criciúma,32,38,7,11,20,28,56,-28,84.21052631578947,1.4736842105263157,-0.7368421052631579
2015,1,Corinthians,81,38,24,9,5,71,31,40,213.15789473684214,0.8157894736842105,1.0526315789473684
2015,2,Atlético Mineiro,69,38,21,6,11,65,47,18,181.57894736842107,1.236842105263158,0.47368421052631576
2015,3,Grêmio,68,38,20,8,10,52,32,20,178.94736842105263,0.8421052631578947,0.5263157894736842
2015,4,São Paulo,62,38,18,8,12,53,47,6,163.1578947368421,1.236842105263158,0.15789473684210525
2015,5,Internacional,60,38,17,9,12,39,38,1,157.89473684210526,1.0,0.02631578947368421
2015,6,Sport,59,38,15,14,9,53,38,15,155.26315789473685,1.0,0.39473684210526316
2015,7,Santos,58,38,16,10,12,59,41,18,152.63157894736844,1.0789473684210527,0.47368421052631576
2015,8,Cruzeiro,55,38,15,10,13,44,35,9,144.73684210526315,0.9210526315789473,0.23684210526315788
2015,9,Palmeiras,53,38,15,8,15,60,51,9,139.4736842105263,1.3421052631578947,0.23684210526315788
